source,review_id,user_name,review_title,review_description,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion,laguage_code,country_code
Google Play,eeab0261-49a5-4f13-a241-cf1b8d2ae34e,A Google user,,ليس هناك حرية تعبير There is no freedom for expression,1,1,2023-10-22 02:16:19,,,436.0.0.35.101,en,us
Google Play,2eae1bf6-85eb-4c34-baad-402aa391a4a8,ARTISTO FF,,Juste support ur side,1,1,2023-10-22 02:16:02,,,288.1.0.47.123,en,us
Google Play,7fc6c475-8dcd-41ed-9a2b-86880211395c,Konoz elmadina,,Absolutely biased application towards Israel,1,1,2023-10-22 02:15:55,,,437.0.0.35.116,en,us
Google Play,7177f8e2-9bc7-4435-8c51-59b307b2f34b,Mohamed Yahia,,"It's not respectful to take one side in a 75 years old comflict, but also to deprive one side from expessing his point of view, no freedom of speach on this platform.",1,0,2023-10-22 02:15:39,,,437.0.0.35.116,en,us
Google Play,2a2f0472-0bf4-4182-908d-b8586f4b723b,Damani Abdou,,Unsafe application,1,0,2023-10-22 02:15:38,,,,en,us
Google Play,24ca6a08-f697-4644-b6b4-50d3050213f3,Silino Silino06,,Lack of freedom of expression عدم حرية التعبير. .,1,0,2023-10-22 02:15:33,,,,en,us
Google Play,5146e47d-23fc-4644-8064-bd2797e2739c,Top5 Bk,,racist,1,0,2023-10-22 02:15:31,,,,en,us
Google Play,edc09ee1-de14-49e9-8d42-21141d9a6dd5,sherine mohamed,,No area for appearing my opinion,1,0,2023-10-22 02:15:30,,,436.0.0.35.101,en,us
Google Play,ad7b107c-7dcb-49a4-8141-bf15436129e8,Diaa Sarhan,,ليس هناك حرية تعبير,1,0,2023-10-22 02:15:30,,,,en,us
Google Play,8312a71e-8778-4696-823a-2f88773624b9,Mohamed Krelifa,,There are no free spechless of humain apility,1,0,2023-10-22 02:15:22,,,385.0.0.32.114,en,us
Google Play,bcf8b2f9-f440-4067-9af7-c8f4168d4385,Samer Shaban,,ليس هناك حرية تعبير,1,0,2023-10-22 02:15:21,,,437.0.0.35.116,en,us
Google Play,fa995955-7333-4dd8-9dea-2b61329565e2,Jihad Torchi,,ليس هنالك حيرة تعبير,1,0,2023-10-22 02:15:17,,,436.0.0.35.101,en,us
Google Play,31e48dd9-5007-4967-8ac3-804422ba63c5,Noha Khalid,,No free speech,1,0,2023-10-22 02:15:13,,,436.0.0.35.101,en,us
Google Play,99107c7e-9675-401e-b2da-b0d52712653d,MUMIA gamer,,Bad in every thing,1,0,2023-10-22 02:15:10,,,436.0.0.35.101,en,us
Google Play,1e182941-eab0-408b-a885-97ea54c7ea55,كريم للشروحات,,الله ينعلكم ياصهيون,1,0,2023-10-22 02:15:08,,,436.0.0.35.101,en,us
Google Play,59e5cd3b-ca43-46ae-b57d-e2262989f566,magda mohamed,,No freedom of expression,1,0,2023-10-22 02:15:03,,,436.0.0.35.101,en,us
